county,year,crmrte,prbarr,prbconv,prbpris,avgsen,polpc,density,taxpc,west,central,urban,pctmin80,wcon,wtuc,wtrd,wfir,wser,wmfg,wfed,wsta,wloc,mix,pctymle,d82,d83,d84,d85,d86,d87,lcrmrte,lprbarr,lprbconv,lprbpris,lavgsen,lpolpc,ldensity,ltaxpc,lwcon,lwtuc,lwtrd,lwfir,lwser,lwmfg,lwfed,lwsta,lwloc,lmix,lpctymle,lpctmin,clcrmrte,clprbarr,clprbcon,clprbpri,clavgsen,clpolpc,cltaxpc,clmix
1,81,.039884899,.28969601,.402062,.472222,5.6100001,.00178678,2.3071594,25.69763,0,1,0,20.2187,206.4803,333.62088,182.33301,272.44919,215.73349,229.12,409.37,236.24001,231.47,.099917881,.08769682,0,0,0,0,0,0,-3.2217574,-1.2389232,-.91114897,-.75030607,1.7245507,-6.3273401,.83601707,3.2463987,5.330205,5.8100052,5.2058349,5.6074519,5.3740439,5.4342461,6.0146194,5.464848,5.4444504,-2.3034067,-2.4338696,3.006608,,,,,,,,
1,82,.038344901,.33811101,.43300501,.506993,5.5900002,.0017665901,2.3302541,24.874252,0,1,0,20.2187,212.7542,369.29642,189.54141,300.87875,231.57671,240.33,419.70001,253.88,236.78999,.10304912,.08637666,1,0,0,0,0,0,-3.2611337,-1.084381,-.83700597,-.67925811,1.7209793,-6.3387041,.84597731,3.2138333,5.3601375,5.9115996,5.2446074,5.7067075,5.444911,5.4820127,6.0395403,5.5368619,5.4671736,-2.2725494,-2.4490378,3.006608,-.039376259,.15454221,.074142992,.071047962,-.0035713911,-.011363983,-.032565355,.030857325
1,83,.030304801,.33044899,.52570301,.47970501,5.8000002,.00183577,2.3418014,26.451443,0,1,0,20.2187,219.78021,1394.8035,196.63947,309.96964,240.15685,269.70001,438.85001,250.36,248.58,.080678672,.085090853,0,1,0,0,0,0,-3.4964492,-1.107303,-.64301884,-.73458391,1.7578579,-6.3002911,.85092044,3.2753108,5.3926282,7.240509,5.2813721,5.7364745,5.4812922,5.5973101,6.0841575,5.5229001,5.5157647,-2.5172811,-2.4640357,3.006608,-.23531556,-.022922039,.19398713,-.055325806,.036878586,.038413048,.061477423,-.24473166
1,84,.034725901,.36252499,.60470599,.52010399,6.8899999,.00188588,2.3464203,26.842348,0,1,0,20.2187,223.4238,398.86041,200.56291,350.08633,252.44768,281.73999,459.17001,261.92999,264.38,.078503527,.083833277,0,0,1,0,0,0,-3.3602695,-1.0146619,-.5030129,-.65372652,1.9300711,-6.2733607,.85289091,3.2899809,5.4090705,5.9886117,5.3011279,5.8581796,5.5312042,5.6409845,6.1294208,5.5680771,5.5773873,-2.5446117,-2.4789252,3.006608,.13617969,.092641115,.14000595,.080857396,.1722132,.026930332,.014670134,-.027330637
1,85,.036573,.32539499,.57872301,.49705899,6.5500002,.0019243601,2.3648961,28.140337,0,1,0,20.2187,243.75624,358.78302,206.88274,383.07074,261.08612,298.88,490.42999,281.44,288.57999,.093248561,.08230646,0,0,0,1,0,0,-3.308445,-1.1227155,-.54693133,-.69904655,1.8794651,-6.2531619,.86073405,3.337204,5.4961686,5.8827176,5.3321524,5.9482198,5.5648503,5.7000422,6.1952825,5.6399193,5.6649723,-2.3724866,-2.4973056,3.006608,.05182457,-.10805357,-.043918431,-.045320034,-.050606012,.020198822,.047223091,.1721251
1,86,.034752399,.32606199,.51232398,.439863,6.9000001,.00189522,2.3856814,29.74098,0,1,0,20.2187,257.91394,369.54651,218.51653,409.88425,269.61285,322.64999,478.67001,286.91,306.70001,.097322829,.080080621,0,0,0,0,1,0,-3.3595066,-1.1206677,-.66879809,-.82129198,1.9315214,-6.2684202,.86948478,3.3925259,5.5526261,5.9122767,5.3868618,6.0158749,5.5969872,5.7765679,6.1710114,5.6591687,5.7258701,-2.3297217,-2.5247214,3.006608,-.05106163,.0020477772,-.12186676,-.12224543,.052056313,-.015258312,.055321932,.042764902
1,87,.035603601,.29826999,.527596,.43617001,6.71,.00182786,2.4226327,30.993681,0,1,0,20.2187,281.4259,408.72449,221.27007,453.17221,274.17746,334.54001,477.57999,292.09,311.91,.080168784,.077870972,0,0,0,0,0,1,-3.3353086,-1.2097563,-.63942444,-.82972318,1.9035989,-6.3046093,.88485485,3.4337833,5.6398692,6.0130415,5.399384,6.116272,5.6137757,5.8127565,6.1687317,5.677062,5.7427149,-2.5236211,-2.552702,3.006608,.024198055,-.089088559,.029373646,-.0084311962,-.027922511,-.036189079,.041257381,-.19389939
3,81,.016392101,.20289899,.869048,.46575299,8.4499998,.00059392001,.976834,14.560878,0,1,0,7.9163198,188.76828,292.64215,151.42339,202.42915,191.37416,210.75,381.72,247.38,213.17,.056122448,.087004617,0,0,0,0,0,0,-4.1109557,-1.595047,-.14035691,-.76409984,2.1341665,-7.4287658,-.023438551,2.6783383,5.24052,5.6789503,5.0200796,5.31039,5.2542305,5.3506727,5.9446874,5.5109258,5.3620901,-2.8802195,-2.4417942,2.0689263,,,,,,,,
3,82,.019065101,.162218,.77215201,.377049,5.71,.00070466998,.99227798,35.640728,0,1,0,7.9163198,186.96581,345.72168,156.88258,225.04092,208.81895,217.77,386.42001,374.07001,219.17999,.047311831,.086472169,1,0,0,0,0,0,-3.9598958,-1.8188142,-.25857386,-.97538012,1.742219,-7.257781,-.0077519892,3.573489,5.2309256,5.845634,5.0554976,5.4162822,5.3414679,5.3834395,5.9569249,5.9244428,5.3898931,-3.0509949,-2.4479327,2.0689263,.15105987,-.22376716,-.11821695,-.21128029,-.39194751,.17098475,.89515066,-.17077541
3,83,.0151492,.181586,1.02817,.43835601,8.6899996,.00065866002,1.003861,19.261877,0,1,0,7.9163198,193.59834,604.9115,157.12946,248.13896,219.08472,236.64,382.64999,268.89999,223.06,.0596206,.085942604,0,1,0,0,0,0,-4.1898074,-1.706026,.027780512,-.8247239,2.1621728,-7.3253031,.0038535162,2.958128,5.2657857,6.4050822,5.0570703,5.513989,5.3894587,5.4665399,5.9471207,5.5943394,5.4074407,-2.8197541,-2.4540756,2.0689263,-.22991157,.1127882,.28635436,.15065622,.41995382,-.067522049,-.61536098,.23124075
